station_id,station_name,latitude,longitude,city_id,city_name
GHCND:USW00003975,"POPLAR BLUFF MUNICIPAL AIRPORT, MO US",36.7725,-90.32472,CITY:US290015,"Poplar Bluff, MO US"
GHCND:USW00013997,"VICHY ROLLA NATIONAL AIRPORT, MO US",38.1318,-91.76461,CITY:US290016,"Rolla, MO US"
GHCND:USW00003994,"SEDALIA MEMORIAL AIRPORT, MO US",38.70417,-93.18333,CITY:US290017,"Sedalia, MO US"
GHCND:USC00238581,"VANDUSER, MO US",37,-89.68333,CITY:US290018,"Sikeston, MO US"
GHCND:USW00093981,"SPRINGFIELD WEATHER FORECAST OFFICE, MO US",37.23545,-93.40121,CITY:US290019,"Springfield, MO US"
GHCND:USW00074401,"ST JOSEPH WEATHER BUREAU OFFICE CITY, MO US",39.81667,-94.85,CITY:US290020,"St. Joseph, MO US"
GHCND:USW00093963,"ST LOUIS EADS BRIDGE, MO US",38.6288,-90.1797,CITY:US290021,"St. Louis, MO US"
GHCND:USW00013930,"WHITEMAN AFB, MO US",38.71667,-93.55,CITY:US290022,"Warrensburg, MO US"
GHCND:USC00238746,"WASHINGTON, MO US",38.5416,-90.9752,CITY:US290023,"Washington, MO US"
GHCND:USW00053901,"WEST PLAINS MUNICIPAL AIRPORT, MO US",36.87806,-91.9025,CITY:US290024,"West Plains, MO US"
GHCND:USW00024033,"BILLINGS INTERNATIONAL AIRPORT, MT US",45.8069,-108.5422,CITY:US300001,"Billings, MT US"
GHCND:USW00024132,"BOZEMAN GALLATIN FIELD AIRPORT, MT US",45.788,-111.1608,CITY:US300002,"Bozeman, MT US"
GHCND:USW00024135,"BUTTE BERT MOONEY AIRPORT, MT US",45.9647,-112.5006,CITY:US300003,"Butte, MT US"
GHCND:USW00024143,"GREAT FALLS AIRPORT, MT US",47.4733,-111.3822,CITY:US300004,"Great Falls, MT US"
GHCND:USW00094104,"HELENA, MT US",46.58333,-112.03333,CITY:US300005,"Helena, MT US"
GHCND:USS0014B04S,"BLACKTAIL MOUNTAIN, MT US",47.98,-114.35,CITY:US300006,"Kalispell, MT US"
GHCND:USW00024153,"MISSOULA INTERNATIONAL AIRPORT, MT US",46.9208,-114.0925,CITY:US300007,"Missoula, MT US"
GHCND:USC00259475,"WYMORE, NE US",40.1269,-96.6711,CITY:US310001,"Beatrice, NE US"
GHCND:USC00258440,"TARNOV, NE US",41.61667,-97.48333,CITY:US310002,"Columbus, NE US"
GHCND:USC00258980,"WATERLOO, NE US",41.28333,-96.28333,CITY:US310003,"Fremont, NE US"
GHCND:USW00014935,"GRAND ISLAND CENTRAL NE REGIONAL AIRPORT, NE US",40.9611,-98.3136,CITY:US310004,"Grand Island, NE US"
GHCND:USW00094949,"HASTINGS MUNICIPAL AIRPORT, NE US",40.6005,-98.4258,CITY:US310005,"Hastings, NE US"
GHCND:USC00255565,"MINDEN, NE US",40.5155,-98.9513,CITY:US310006,"Kearney, NE US"
GHCND:USW00014994,"LEXINGTON JIM KELLY FIELD, NE US",40.78861,-99.77083,CITY:US310007,"Lexington, NE US"
GHCND:USW00094996,"LINCOLN 11 SW, NE US",40.6954,-96.8541,CITY:US310008,"Lincoln, NE US"
GHCND:USW00014941,"NORFOLK KARL STEFAN MEMORIAL AIRPORT, NE US",41.9855,-97.4352,CITY:US310009,"Norfolk, NE US"
GHCND:USW00024023,"NORTH PLATTE REGIONAL AIRPORT, NE US",41.1213,-100.6694,CITY:US310010,"North Platte, NE US"
GHCND:USW00094918,"OMAHA WSFO, NE US",41.36667,-96.01667,CITY:US310011,"Omaha, NE US"
GHCND:USW00024028,"SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US",41.8705,-103.593,CITY:US310012,"Scottsbluff, NE US"
GHCND:USC00261071,"BOULDER CITY, NV US",35.98,-114.84639,CITY:US320001,"Boulder City, NV US"
GHCND:USS0019k03S,"LITTLE VALLEY, NV US",39.25,-119.88,CITY:US320002,"Carson City, NV US"
GHCND:USW00024121,"ELKO REGIONAL AIRPORT, NV US",40.8288,-115.7886,CITY:US320003,"Elko, NV US"
GHCND:USW00053123,"LAS VEGAS AIR TERMINAL, NV US",36.21167,-115.19583,CITY:US320004,"Las Vegas, NV US"
GHCND:USR0000NPAH,"PAHRUMP NEVADA, NV US",36.1664,-116.1017,CITY:US320005,"Pahrump, NV US"
GHCND:USW00023185,"RENO TAHOE INTERNATIONAL AIRPORT, NV US",39.4838,-119.7711,CITY:US320006,"Reno, NV US"
GHCND:USW00094700,"BERLIN MUNICIPAL AIRPORT, NH US",44.57611,-71.17861,CITY:US330001,"Berlin, NH US"
GHCND:USW00054740,"SPRINGFIELD HARTNESS STATE AIRPORT, VT US",43.34361,-72.51778,CITY:US330002,"Claremont, NH US"
GHCND:USW00014745,"CONCORD ASOS, NH US",43.2049,-71.50274,CITY:US330003,"Concord, NH US"
GHCND:USC00430841,"BRATTLEBORO, VT US",42.85,-72.566667,CITY:US330004,"Keene, NH US"
